Channel Name,Order Count,TP,Avg TP,CP,Avg CP,Cont,Avg.Cont,Total CC,Avg CC,Date
Shopping Zone TN,233,228809,982,364767,1566,135958,584,56026,240,2020-04-01
music zone TAMIL,130,141809,1091,212570,1635,70761,544,34620,266,2020-04-01
Our Website,7,9250,1321,10593,1513,1343,192,1093,156,2020-04-01
Total,370,379868,1027,587930,1589,208062,562,91739,248,2020-04-01
Shopping Zone TN,199,190593,958,310001,1558,119408,600,49802,250,2020-04-02
music zone TAMIL,195,188622,967,298705,1532,110083,565,49007,251,2020-04-02
Our Website,3,3572,1191,4097,1366,525,175,497,166,2020-04-02
Total,397,382787,964,612803,1544,230016,579,99306,250,2020-04-02
Shopping Zone TN,188,165681,881,275912,1468,110231,586,46914,250,2020-04-03
music zone TAMIL,137,158750,1159,247363,1806,88613,647,30830,225,2020-04-03
Our Website,2,2625,1313,3798,1899,1173,587,248,124,2020-04-03
Total,327,327056,1000,527073,1612,200017,612,77992,239,2020-04-03
Shopping Zone TN,200,158566,793,260900,1305,102334,512,48052,240,2020-04-04
music zone TAMIL,124,169289,1365,258076,2081,88788,716,28840,233,2020-04-04
Our Website,1,3100,3100,3999,3999,899,899,149,149,2020-04-04
Total,325,330955,1018,522975,1609,192020,591,77041,237,2020-04-04
music zone TAMIL,216,154568,716,254684,1179,100116,464,53136,246,2020-04-05
Shopping Zone TN,158,156507,991,259642,1643,103135,653,37104,235,2020-04-05
Our Website,3,3850,1283,4697,1566,847,282,447,149,2020-04-05
Total,377,314925,835,519023,1377,204098,541,90687,241,2020-04-05
Shopping Zone TN,185,230582,1246,360415,1948,129833,702,43479,235,2020-04-06
music zone TAMIL,140,131586,940,199660,1426,68074,486,37810,270,2020-04-06
Our Website,1,448,448,999,999,551,551,149,149,2020-04-06
Total,326,362616,1112,561074,1721,198458,609,81438,250,2020-04-06
music zone TAMIL,136,128536,945,199264,1465,70728,520,35265,259,2020-04-07
Shopping Zone TN,132,113336,859,194568,1474,81233,615,34021,258,2020-04-07
Our Website,6,7530,1255,9394,1566,1864,311,994,166,2020-04-07
Total,274,249402,910,403226,1472,153824,561,70280,256,2020-04-07
Shopping Zone TN,183,144825,791,256017,1399,111192,608,42870,234,2020-04-08
music zone TAMIL,127,116776,919,185973,1464,69197,545,32074,253,2020-04-08
Our Website,2,2548,1274,3998,1999,1450,725,298,149,2020-04-08
Total,312,264149,847,445988,1429,181839,583,75242,241,2020-04-08
Shopping Zone TN,154,183855,1194,290246,1885,106392,691,36306,236,2020-04-09
music zone TAMIL,112,159472,1424,231288,2065,71816,641,29091,260,2020-04-09
Our Website,2,1543,772,2998,1499,1455,728,298,149,2020-04-09
Total,268,344870,1287,524532,1957,179662,670,65695,245,2020-04-09
Shopping Zone TN,131,119887,915,198869,1518,78982,603,29775,227,2020-04-10
music zone TAMIL,88,103277,1174,155812,1771,52535,597,21567,245,2020-04-10
Total,219,223164,1019,354681,1620,131517,601,51342,234,2020-04-10
Shopping Zone TN,174,184067,1058,269226,1547,85160,489,42184,242,2020-04-11
music zone TAMIL,127,107344,845,180373,1420,73029,575,30479,240,2020-04-11
Our Website,1,1169,1169,999,999,-170,-170,149,149,2020-04-11
Total,302,292580,969,450598,1492,158018,523,72812,241,2020-04-11
Shopping Zone TN,175,142105,812,233525,1334,91421,522,43126,246,2020-04-12
music zone TAMIL,113,97357,862,154087,1364,56731,502,28040,248,2020-04-12
Our Website,3,2976,992,4997,1666,2021,674,447,149,2020-04-12
Total,291,242438,833,392609,1349,150171,516,71613,246,2020-04-12
music zone TAMIL,142,161708,1139,251158,1769,89450,630,32974,232,2020-04-13
Shopping Zone TN,135,131440,974,213865,1584,82425,611,31771,235,2020-04-13
Our Website,1,2400,2400,2999,2999,599,599,199,199,2020-04-13
Total,278,295548,1063,468022,1684,172474,620,64944,234,2020-04-13
